MonthlyHours,TariffRate,City_Ratnagiri,City_New Delhi,City_Nagpur,City_Ahmedabad,City_Pune,City_Kolkata,City_Dahej,City_Navi Mumbai,City_Faridabad,City_Shimla,City_Gurgaon,City_Vadodara,City_Hyderabad,City_Noida,City_Chennai,City_Mumbai
384,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
488,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
416,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
475,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
457,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
471,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
450,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
493,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
492,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
565,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
414,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
594,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
349,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
355,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
467,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
659,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
395,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
480,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
678,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
664,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
515,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
509,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
679,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
564,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
412,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
468,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
452,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
447,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
361,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
307,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
494,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
699,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
549,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
385,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
491,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
546,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
636,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
401,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
360,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
539,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
577,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
673,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
398,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
653,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
421,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
421,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
650,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
484,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
737,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
405,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
458,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
466,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
456,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
394,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
263,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
490,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
476,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
577,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
533,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
495,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
399,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
604,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
653,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
512,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
468,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
563,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
496,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
500,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
502,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
616,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
589,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
595,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
487,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
512,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
388,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
437,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
656,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
523,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
565,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
561,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
628,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
560,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
425,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
632,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
560,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
389,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
576,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
340,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
417,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
503,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
561,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
584,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
771,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
643,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
552,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
683,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
436,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
681,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
668,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
381,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
643,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
495,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
544,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
675,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
665,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
243,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
735,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
587,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
287,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
756,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
480,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
345,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
545,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
407,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
389,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
519,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
662,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
302,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
582,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
506,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
487,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
476,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
599,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
422,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
351,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
512,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
776,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
467,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
696,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
357,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
325,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
717,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
419,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
478,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
548,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
508,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
299,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
537,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
473,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
449,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
618,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
540,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
530,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
578,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
418,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
406,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
458,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
666,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
325,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
684,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
491,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
528,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
742,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
768,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
503,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
536,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
472,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
384,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
438,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
462,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
601,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
408,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
602,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
635,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
563,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
726,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
412,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
675,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
385,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
744,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
410,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
591,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
521,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
596,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
415,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
503,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
526,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
377,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
376,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
724,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
707,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
365,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
308,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
543,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
355,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
502,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
455,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
543,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
461,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
412,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
633,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
480,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
348,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
623,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
465,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
371,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
561,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
673,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
535,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
460,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
483,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
370,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
678,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
459,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
717,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
617,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
488,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
614,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
556,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
569,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
527,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
322,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
712,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
442,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
509,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
648,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
394,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
487,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
417,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
504,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
503,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
503,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
514,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
407,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
522,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
506,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
420,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
735,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
397,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
640,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
395,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
626,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
749,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
570,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
719,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
468,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
589,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
689,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
802,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
650,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
308,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
743,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
528,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
600,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
512,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
491,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
267,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
299,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
449,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
602,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
713,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
626,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
383,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
564,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
527,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
515,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
424,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
647,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
474,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
485,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
426,9.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
408,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
717,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
576,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
662,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
403,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
691,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
518,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
311,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
369,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
585,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
615,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
470,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
608,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
536,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
622,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
404,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
427,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
450,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
706,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
888,8.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
509,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
557,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
572,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
508,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
542,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
436,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
665,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
362,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
658,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
690,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
521,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
474,8.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
462,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
584,8.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
387,7.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
341,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
610,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
485,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
452,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
605,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
508,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
